id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,votes,reviews_from_critics,popularity,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0100263,4.144337,9.653905,21.986462,-1.5243771,10.9752865,0.09819287,7.15,91.0,6.586401,tt0151137,,,,,
tt0029952,5.693859,12.886382,22.11293,-2.0676198,10.287991,0.6545298,6.0,5.0,0.202059,tt0035659,,,,,
tt0094375,1.9207844,14.852373,17.733755,-2.2343264,8.750351,3.0113187,6.35,19.0,0.921075,tt0111800,tt0106937,,,,
tt0118747,3.759575,9.56144,19.596943,-5.045476,11.432679,3.427097,5.050000000000001,51.0,13.162168,tt0109254,tt0090056,,,,
tt0089087,4.742675,12.30373,20.903996,-2.1894186,10.147242,2.3426325,6.95,46.0,19.520733,tt0082348,tt0093209,,,,
tt0442781,2.853652,12.622983,20.134197,-2.4265258,12.1029,4.626698,6.6,,0.482527,,,,,,
tt0105399,3.4127321,11.39627,20.171097,-5.861655,13.073534,2.0696013,6.35,47.0,10.222076,tt0103950,tt0108656,tt0098019,,,
tt0399327,3.8748982,12.142351,21.280651,-1.6301235,10.5422735,1.3399576,5.5,70.0,11.127884,tt0264472,,,,,
tt0168043,2.5199363,12.673817,21.344057,-1.3411729,10.472124,0.117468044,6.9,15.0,1.468044,tt0220644,tt0374184,,,,
tt0113278,3.8243594,13.269814,19.04678,-2.5697944,11.585576,-0.42456773,5.949999999999999,16.0,1.037592,tt0102202,,,,,
tt0119086,3.2466662,10.008717,20.689108,-3.5852654,11.791101,0.7492685,5.5,48.0,3.714997,,,,,,
tt0035244,5.470303,12.3073225,20.628616,-1.4025161,8.017189,2.158034,6.800000000000001,26.0,1.076119,tt0035369,,,,,
tt0091818,3.9537992,9.785867,17.899239,-2.1942291,8.092413,0.87383443,5.85,29.0,0.317742,tt0097138,,,,,
tt0092644,2.8300061,11.209668,21.657581,-1.211698,10.4680605,1.345279,6.3,61.0,9.200336,tt0109254,tt0099044,tt0104714,,,
tt0043469,4.3392606,13.957479,18.4601,-0.7181558,8.987751,2.2413201,6.05,12.0,6.5786880000000005,tt0046719,tt0039737,,,,
tt0076725,3.2189693,13.162652,20.693855,-3.3817549,9.565603,2.4415092,6.050000000000001,19.0,0.7566890000000001,tt0077318,tt0079596,,,,
tt0072006,3.6272135,9.066771,22.388212,-2.2220557,11.720379,-0.28016672,6.199999999999999,12.0,0.197425,tt0072349,,,,,
